# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50750
#@/user_id	sync_config
ce shi bei zhu 	測試備註	c=1 d=4.13461e-81 t=50750
ce shi guo 	測試過	c=1 d=1.16635e-75 t=50750
ce shi hao 	測試好	c=1 d=3.25992e-20 t=50750
ce shi huan jing 	測試環境	c=2 d=4.24519e-68 t=50750
ce shi xia 	測試下	c=5 d=1.72282e-24 t=50750
ce shi yong 	測試用	c=1 d=5.26379e-10 t=50750
ce suo 	廁所	c=1 d=1.97812e-84 t=50750
ce xia 	測下	c=4 d=1.04042e-25 t=50750
ce xiao 	測小	c=1 d=0.00209124 t=50750
ceng 	層	c=3 d=2.58091e-09 t=50750
ceng gao 	層高	c=1 d=5.8394e-25 t=50750
ceng ji 	層級	c=1 d=7.14585e-18 t=50750
cha 	差	c=7 d=0.0330412 t=50750
cha 	插	c=3 d=6.90969e-05 t=50750
cha 	查	c=7 d=0.190025 t=50750
cha 	茶	c=2 d=4.39519e-06 t=50750
cha bu dao 	查不到	c=7 d=5.41101e-11 t=50750
cha bu duo 	差不多	c=3 d=1.48975e-13 t=50750
cha chu 	查出	c=3 d=1.47312e-28 t=50750
cha dao 	查到	c=6 d=2.99122e-08 t=50750
cha hu kou 	查戶口	c=1 d=1.84582e-05 t=50750
cha jian 	插件	c=9 d=0.000113358 t=50750
cha jin qu 	插進去	c=1 d=1.79158e-07 t=50750
cha kan 	查看	c=13 d=0.000415927 t=50750
cha ru 	插入	c=13 d=0.00990742 t=50750
cha shui 	茶水	c=0 d=4.96754e-06 t=50750
cha shui jian 	茶水間	c=1 d=4.99244e-05 t=50750
cha xun 	查詢	c=75 d=8.11176e-05 t=50750
cha yi xia 	查一下	c=2 d=1.18918e-09 t=50750
chai 	拆	c=1 d=2.99561e-84 t=50750
chai chu 	拆除	c=1 d=8.77591e-53 t=50750
chai fen 	拆分	c=2 d=1.31447e-11 t=50750
chai ji 	拆機	c=1 d=6.41458e-42 t=50750
chan 	禪	c=8 d=1.25403e-16 t=50750
chan pin 	產品	c=9 d=2.14527e-09 t=50750
chan sheng 	產生	c=2 d=7.82971e-05 t=50750
chang 	唱	c=6 d=5.74593e-67 t=50750
chang 	常	c=1 d=2.85844e-62 t=50750
chang 	長	c=4 d=3.47578e-40 t=50750
chang an 	長按	c=1 d=3.3101e-82 t=50750
chang fang xing 	長方形	c=1 d=6.38476e-46 t=50750
chang ge 	唱歌	c=1 d=5.08085e-35 t=50750
chang jian 	常見	c=1 d=3.48952e-56 t=50750
chang jing 	場景	c=4 d=0.348192 t=50750
chang shi 	嘗試	c=2 d=3.50046e-34 t=50750
chang tiao 	長條	c=1 d=1.89319e-09 t=50750
chao 	超	c=3 d=8.53014e-13 t=50750
chao chu 	超出	c=3 d=2.48855e-20 t=50750
chao dan 	炒蛋	c=1 d=1.49411e-18 t=50750
chao guo 	超過	c=4 d=3.4837e-07 t=50750
chao ji 	超級	c=3 d=2.01746e-27 t=50750
chao shan 	潮汕	c=1 d=1.83931e-81 t=50750
chao shi 	超市	c=2 d=8.78965e-05 t=50750
chao shi 	超時	c=14 d=0.933652 t=50750
chao xian 	朝鮮	c=1 d=1.27914e-14 t=50750
chao yue 	超越	c=2 d=0.763894 t=50750
che 	車	c=11 d=3.50963e-06 t=50750
che bu duo 	車不多	c=1 d=6.07731e-83 t=50750
che shi 	車市	c=1 d=0.00101791 t=50750
che tui 	撤退	c=1 d=1.28136e-05 t=50750
che xiao 	撤銷	c=4 d=0.00413116 t=50750
chen 	陳	c=8 d=6.53399e-15 t=50750
chen fei 	陈飞	c=5 d=4.66687e-35 t=50750
chen hua 	陈华	c=0 d=0.00136366 t=50750
chen hua yang 	陈华陽	c=9 d=0.0137049 t=50750
chen zong yuan 	陈宗源	c=1 d=1.78319e-40 t=50750
cheng 	成	c=13 d=4.36074e-07 t=50750
cheng 	稱	c=1 d=3.80946e-88 t=50750
cheng gong 	成功	c=133 d=0.145494 t=50750
cheng gong lv 	成功率	c=1 d=2.28064e-23 t=50750
cheng ren 	成人	c=1 d=3.26814e-79 t=50750
cheng shi 	城市	c=15 d=1.55126e-05 t=50750
cheng wei 	成爲	c=4 d=7.34446e-17 t=50750
cheng xu 	程序	c=9 d=3.57547e-09 t=50750
